time,class_name,split,source_path,dest_path,source_file_name,dest_file_name,width,height,mode,file_size_bytes,sha1,status,reason
2026-06-24 11:07:36,待分拣,train,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣29.jpg,D:\Garbage Classification\Garbage_Classification_Organized\garbage_dataset_20260624_110735\train\待分拣\待分拣29.jpg,待分拣29.jpg,待分拣29.jpg,558,558,RGB,47382,,success,
2026-06-24 11:07:36,待分拣,train,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣48.jpg,D:\Garbage Classification\Garbage_Classification_Organized\garbage_dataset_20260624_110735\train\待分拣\待分拣48.jpg,待分拣48.jpg,待分拣48.jpg,558,558,RGB,51270,,success,
2026-06-24 11:07:36,待分拣,train,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0163.jpg,D:\Garbage Classification\Garbage_Classification_Organized\garbage_dataset_20260624_110735\train\待分拣\待分拣_0163.jpg,待分拣_0163.jpg,待分拣_0163.jpg,558,558,RGB,48231,,success,
2026-06-24 11:07:36,待分拣,train,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0060.jpg,D:\Garbage Classification\Garbage_Classification_Organized\garbage_dataset_20260624_110735\train\待分拣\待分拣_0060.jpg,待分拣_0060.jpg,待分拣_0060.jpg,558,558,RGB,52956,,success,
2026-06-24 11:07:36,待分拣,train,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣100.jpg,D:\Garbage Classification\Garbage_Classification_Organized\garbage_dataset_20260624_110735\train\待分拣\待分拣100.jpg,待分拣100.jpg,待分拣100.jpg,558,558,RGB,46860,,success,
2026-06-24 11:07:36,待分拣,train,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0180.jpg,D:\Garbage Classification\Garbage_Classification_Organized\garbage_dataset_20260624_110735\train\待分拣\待分拣_0180.jpg,待分拣_0180.jpg,待分拣_0180.jpg,558,558,RGB,52676,,success,
2026-06-24 11:07:36,待分拣,train,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0203.jpg,D:\Garbage Classification\Garbage_Classification_Organized\garbage_dataset_20260624_110735\train\待分拣\待分拣_0203.jpg,待分拣_0203.jpg,待分拣_0203.jpg,558,558,RGB,57096,,success,
2026-06-24 11:07:36,待分拣,train,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0192.jpg,D:\Garbage Classification\Garbage_Classification_Organized\garbage_dataset_20260624_110735\train\待分拣\待分拣_0192.jpg,待分拣_0192.jpg,待分拣_0192.jpg,558,558,RGB,53253,,success,
2026-06-24 11:07:36,待分拣,train,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0114.jpg,D:\Garbage Classification\Garbage_Classification_Organized\garbage_dataset_20260624_110735\train\待分拣\待分拣_0114.jpg,待分拣_0114.jpg,待分拣_0114.jpg,558,558,RGB,46778,,success,
2026-06-24 11:07:36,待分拣,train,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣60.jpg,D:\Garbage Classification\Garbage_Classification_Organized\garbage_dataset_20260624_110735\train\待分拣\待分拣60.jpg,待分拣60.jpg,待分拣60.jpg,558,558,RGB,46776,,success,
2026-06-24 11:07:36,待分拣,train,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣_0209.jpg,D:\Garbage Classification\Garbage_Classification_Organized\garbage_dataset_20260624_110735\train\待分拣\待分拣_0209.jpg,待分拣_0209.jpg,待分拣_0209.jpg,558,558,RGB,50455,,success,
2026-06-24 11:07:36,待分拣,train,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣181.jpg,D:\Garbage Classification\Garbage_Classification_Organized\garbage_dataset_20260624_110735\train\待分拣\待分拣181.jpg,待分拣181.jpg,待分拣181.jpg,558,558,RGB,56597,,success,
2026-06-24 11:07:36,待分拣,train,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣172.jpg,D:\Garbage Classification\Garbage_Classification_Organized\garbage_dataset_20260624_110735\train\待分拣\待分拣172.jpg,待分拣172.jpg,待分拣172.jpg,558,558,RGB,51443,,success,
2026-06-24 11:07:36,待分拣,train,D:\Garbage Classification\Garbage_Classification_Organized\dataset\待分拣\待分拣77.jpg,D:\Garbage Classification\Garbage_Classification_Organized\garbage_dataset_20260624_110735\train\待分拣\待分拣77.jpg,待分拣77.jpg,待分拣77.jpg,558,558,RGB,46669,,success,
